id_conditions ,surface_condition,land ,weather_condition 
62328,Humeda,Plano,Lluvia
62330,Humeda,Ondulado,Lluvia
62336,Humeda,Ondulado,Lluvia
62726,Humeda,Montañoso,Lluvia
62727,Seca y limpia,Montañoso,Normal
63538,Seca y limpia,Plano,Normal
63539,Seca y limpia,Montañoso,Normal
63540,Seca y limpia,Plano,Normal
66749,Humeda,Ondulado,Lluvia
66750,Humeda,Ondulado,Lluvia
66751,Humeda,Plano,Lluvia
66752,Seca y limpia,Montañoso,Normal
66753,Humeda,Ondulado,Lluvia
66754,Seca y limpia,Ondulado,Normal
66755,Humeda,Ondulado,Lluvia
66756,Seca y limpia,Montañoso,Normal
66757,Humeda,Ondulado,Lluvia
66759,Humeda,Ondulado,Lluvia
66760,Humeda,Ondulado,Lluvia
66761,Seca y limpia,Ondulado,Normal
67946,Seca y limpia,Montañoso,Sol
67949,Seca y limpia,Montañoso,Seca
67950,Humeda,Montañoso,Lluvia
68342,Seca y limpia,Montañoso,Seca
68343,Seca y limpia,Montañoso,Seca
68345,Seca y limpia,Montañoso,Seca
68353,Seca y limpia,Plano,Seca
68356,Seca y limpia,Montañoso,Seca
68358,Seca y limpia,Montañoso,Seca
70772,Seca y limpia,Montañoso,Normal
71569,Seca y limpia,Plano,Normal
71570,Seca y limpia,Plano,Normal
71571,Seca y limpia,Plano,Normal
74373,Humeda,Ondulado,Lluvia
74374,Humeda,Plano,Lluvia
74375,Seca y limpia,Plano,Normal
74376,Seca y limpia,Plano,Normal
74377,Seca y limpia,Plano,Normal
75584,Seca y limpia,Plano,Normal
75586,Seca y limpia,Plano,Normal
75589,Seca y limpia,Montañoso,Normal
75979,Humeda,Ondulado,Lluvia
75980,Humeda,Ondulado,Lluvia
75982,Seca y limpia,Ondulado,Normal
75984,Humeda,Ondulado,Lluvia
75986,Seca y limpia,Ondulado,Normal
75987,Seca y limpia,Montañoso,Normal
75988,Seca y limpia,Ondulado,Normal
75989,Seca y limpia,Montañoso,Normal
75990,Seca y limpia,Montañoso,Normal
76391,Seca y limpia,Ondulado,Normal
76398,Humeda,Montañoso,Lluvia
76793,Humeda,Montañoso,Lluvia
77588,Humeda,Plano,Lluvia
77589,Humeda,Montañoso,Lluvia
77590,Humeda,Plano,Niebla
77591,Seca y limpia,Plano,Normal
77592,Seca y limpia,Plano,Normal
83998,Seca y limpia,Montañoso,Sol
83999,Seca y limpia,Plano,Normal
93601,Seca y limpia,Plano,Normal
93602,Seca y limpia,Plano,Normal
93603,Seca y limpia,Plano,Normal
93604,Seca y limpia,Plano,Normal
94003,Seca y limpia,Plano,Normal
94005,Seca y limpia,Ondulado,Normal
94007,Seca y limpia,Plano,Normal
94008,Seca y limpia,Ondulado,Normal
95973,Humeda,Montañoso,Lluvia
95974,Humeda,Ondulado,Niebla
95975,Humeda,Plano,Lluvia
95976,Seca y limpia,Plano,Seca
95977,Seca y limpia,Plano,Seca
95978,Seca y limpia,Plano,Sol
95979,Seca y limpia,Plano,Seca
95980,Seca y limpia,Ondulado,Seca
95981,Seca y limpia,Escarpado,Sol
95982,Seca y limpia,Plano,Seca
95983,Humeda,Plano,Lluvia
95984,Seca y limpia,Plano,Seca
95985,Seca y limpia,Plano,Seca
95986,Humeda,Ondulado,Lluvia
95987,Humeda,Ondulado,Lluvia
95988,Humeda,Montañoso,Lluvia
95989,Seca y limpia,Montañoso,Sol
95990,Seca y limpia,Plano,Seca
95991,Seca y limpia,Montañoso,Seca
95992,Seca y limpia,Montañoso,Sol
95993,Seca y limpia,Montañoso,Seca
95999,Humeda,Escarpado,Lluvia
96000,Humeda,Escarpado,Lluvia
96001,Humeda,Ondulado,Lluvia
96002,Humeda,Escarpado,Lluvia
96007,Seca y limpia,Plano,Normal
96008,Seca y limpia,Escarpado,Normal
96015,Seca y limpia,Escarpado,Normal
96016,Seca y limpia,Ondulado,Normal
96024,Seca y limpia,Montañoso,Normal
96025,Seca y limpia,Escarpado,Normal
96031,Humeda,Escarpado,Lluvia
96044,Humeda,Montañoso,Lluvia
96053,Humeda,Montañoso,Lluvia
96054,Seca y limpia,Montañoso,Seca
96055,Seca y limpia,Ondulado,Normal
96234,Seca y limpia,Montañoso,Normal
96235,Humeda,Ondulado,Lluvia
96238,Humeda,Escarpado,Lluvia
96241,Seca y limpia,Escarpado,Normal
96242,Seca y limpia,Plano,Normal
96243,Seca y limpia,Escarpado,Normal
96244,Seca y limpia,Escarpado,Normal
96245,Humeda,Escarpado,Lluvia
96246,Humeda,Escarpado,Lluvia
96247,Seca y limpia,Escarpado,Sol
96248,Seca y limpia,Escarpado,Normal
96249,Seca y limpia,Escarpado,Normal
96250,Seca y limpia,Escarpado,Normal
96251,Seca y limpia,Escarpado,Normal
96252,Humeda,Escarpado,Lluvia
96253,Seca y limpia,Escarpado,Normal
96254,Seca y limpia,Escarpado,Normal
96255,Seca y limpia,Escarpado,Normal
96264,Seca y limpia,Escarpado,Normal
96265,Seca y limpia,Ondulado,Normal
96266,Helada,Plano,Niebla
96267,Seca y limpia,Plano,Normal
96268,Seca y limpia,Plano,Normal
96269,Seca y limpia,Plano,Normal
96270,Seca y limpia,Plano,Normal
96271,Humeda,Plano,Lluvia
96272,Humeda,Plano,Lluvia
96273,Seca y limpia,Plano,Normal
96274,Seca y limpia,Plano,Normal
96275,Seca y limpia,Plano,Normal
96276,Seca y limpia,Ondulado,Normal
96277,Humeda,Ondulado,Lluvia
96278,Seca y limpia,Plano,Normal
96279,Seca y limpia,Plano,Normal
96280,Seca y limpia,Plano,Normal
96281,Seca y limpia,Plano,Normal
96282,Seca y limpia,Ondulado,Normal
96283,Seca y limpia,Ondulado,Normal
96284,Seca y limpia,Ondulado,Normal
96285,Seca y limpia,Plano,Normal
96286,Humeda,Ondulado,Lluvia
96287,Seca y limpia,Plano,Normal
96288,Seca y limpia,Ondulado,Normal
96289,Humeda,Plano,Lluvia
96290,Humeda,Ondulado,Lluvia
96291,Seca y limpia,Montañoso,Normal
96292,Seca y limpia,Ondulado,Normal
96293,Humeda,Plano,Lluvia
96294,Humeda,Ondulado,Lluvia
96295,Humeda,Plano,Lluvia
96296,Seca y limpia,Ondulado,Normal
96297,Seca y limpia,Plano,Normal
96298,Seca y limpia,Montañoso,Normal
96299,Seca y limpia,Ondulado,Normal
96300,Seca y limpia,Plano,Normal
96301,Seca y limpia,Plano,Normal
96302,Humeda,Plano,Lluvia
96303,Seca y limpia,Plano,Normal
96304,Seca y limpia,Ondulado,Normal
96305,Seca y limpia,Montañoso,Normal
96306,Seca y limpia,Ondulado,Normal
96307,Humeda,Plano,Lluvia
96308,Humeda,Plano,Lluvia
96309,Seca y limpia,Plano,Normal
96310,Seca y limpia,Ondulado,Normal
96311,Seca y limpia,Ondulado,Normal
96312,Seca y limpia,Plano,Normal
96313,Humeda,Plano,Lluvia
96314,Humeda,Plano,Lluvia
96315,Seca y limpia,Plano,Normal
96316,Seca y limpia,Plano,Normal
96317,Seca y limpia,Ondulado,Normal
96318,Seca y limpia,Ondulado,Normal
96319,Seca y limpia,Ondulado,Normal
96320,Seca y limpia,Ondulado,Normal
96321,Seca y limpia,Plano,Normal
96322,Seca y limpia,Plano,Normal
96323,Humeda,Plano,Lluvia
96324,Humeda,Ondulado,Lluvia
96325,Seca y limpia,Plano,Normal
96326,Seca y limpia,Ondulado,Normal
96327,Seca y limpia,Plano,Normal
96328,Humeda,Ondulado,Lluvia
96445,Seca y limpia,Montañoso,Seca
96446,Seca y limpia,Plano,Sol
96447,Seca y limpia,Plano,Sol
96448,Seca y limpia,Plano,Sol
96449,Seca y limpia,Plano,Sol
96450,Seca y limpia,Escarpado,Sol
96451,Seca y limpia,Plano,Sol
96699,Seca y limpia,Montañoso,Sol
96700,Seca y limpia,Montañoso,Sol
96701,Aceite,Montañoso,Normal
96702,Seca y limpia,Montañoso,Normal
96703,Seca y limpia,Montañoso,Normal
96704,Seca y limpia,Montañoso,Normal
96705,Seca y limpia,Plano,Sol
96706,Seca y limpia,Montañoso,Sol
96707,Seca y limpia,Montañoso,Sol
96708,Seca y limpia,Montañoso,Sol
96709,Seca y limpia,Montañoso,Sol
96710,Humeda,Montañoso,Lluvia
96711,Seca y limpia,Montañoso,Sol
96712,Seca y limpia,Plano,Normal
96713,Seca y limpia,Plano,Normal
96714,Seca y limpia,Plano,Normal
96715,Seca y limpia,Plano,Normal
96716,Humeda,Plano,Lluvia
96717,Seca y limpia,Ondulado,Normal
96718,Seca y limpia,Ondulado,Normal
96719,Humeda,Ondulado,Lluvia
96720,Seca y limpia,Plano,Normal
96721,Seca y limpia,Plano,Normal
96722,Seca y limpia,Plano,Normal
96723,Seca y limpia,Plano,Normal
96724,Seca y limpia,Plano,Normal
96725,Seca y limpia,Montañoso,Normal
96726,Seca y limpia,Montañoso,Normal
96727,Seca y limpia,Ondulado,Normal
96728,Seca y limpia,Plano,Normal
96729,Seca y limpia,Plano,Normal
96730,Seca y limpia,Plano,Normal
96731,Seca y limpia,Ondulado,Normal
96732,Seca y limpia,Montañoso,Normal
96733,Seca y limpia,Montañoso,Sol
96734,Seca y limpia,Plano,Normal
96735,Humeda,Plano,Lluvia
96736,Seca y limpia,Plano,Normal
96737,Seca y limpia,Plano,Sol
96738,Seca y limpia,Ondulado,Normal
96739,Seca y limpia,Montañoso,Normal
96740,Seca y limpia,Ondulado,Sol
96741,Humeda,Plano,Lluvia
96742,Seca y limpia,Plano,Normal
96743,Seca y limpia,Plano,Normal
96744,Seca y limpia,Montañoso,Sol
96745,Seca y limpia,Plano,Normal
96746,Seca y limpia,Plano,Sol
96747,Seca y limpia,Ondulado,Normal
96748,Seca y limpia,Ondulado,Normal
96749,Seca y limpia,Ondulado,Normal
96750,Humeda,Plano,Lluvia
96751,Seca y limpia,Plano,Normal
96752,Seca y limpia,Plano,Normal
96753,Seca y limpia,Plano,Normal
96754,Seca y limpia,Plano,Normal
96755,Seca y limpia,Plano,Normal
96756,Lodo,Montañoso,Lluvia
96757,Seca y limpia,Montañoso,Seca
96758,Seca y limpia,Montañoso,Seca
96759,Seca y limpia,Ondulado,Normal
96760,Seca y limpia,Ondulado,Normal
96761,Seca y limpia,Ondulado,Normal
96762,Seca y limpia,Ondulado,Normal
96763,Seca y limpia,Ondulado,Normal
96764,Seca y limpia,Plano,Normal
96765,Seca y limpia,Plano,Normal
96766,Seca y limpia,Plano,Normal
96767,Seca y limpia,Plano,Normal
96768,Seca y limpia,Montañoso,Normal
96769,Seca y limpia,Plano,Normal
96770,Seca y limpia,Ondulado,Normal
96771,Seca y limpia,Ondulado,Normal
96772,Seca y limpia,Plano,Normal
96773,Seca y limpia,Ondulado,Normal
97056,Seca y limpia,Plano,Normal
97057,Seca y limpia,Plano,Normal
97058,Seca y limpia,Plano,Normal
97059,Seca y limpia,Plano,Normal
97060,Seca y limpia,Plano,Normal
97061,Seca y limpia,Plano,Normal
97064,Seca y limpia,Plano,Normal
97065,Seca y limpia,Plano,Normal
97066,Seca y limpia,Plano,Normal
97067,Seca y limpia,Plano,Normal
97068,Seca y limpia,Plano,Normal
97069,Seca y limpia,Plano,Normal
97188,Seca y limpia,Plano,Normal
97189,Seca y limpia,Plano,Normal
97190,Seca y limpia,Plano,Normal
97191,Seca y limpia,Plano,Normal
97192,Seca y limpia,Plano,Normal
97193,Seca y limpia,Ondulado,Normal
97194,Seca y limpia,Plano,Normal
97195,Seca y limpia,Plano,Normal
97196,Humeda,Ondulado,Lluvia
97197,Seca y limpia,Ondulado,Normal
97198,Seca y limpia,Plano,Normal
97199,Seca y limpia,Plano,Normal
97200,Seca y limpia,Plano,Normal
97201,Humeda,Ondulado,Lluvia
97202,Humeda,Plano,Lluvia
97203,Seca y limpia,Ondulado,Normal
97204,Seca y limpia,Ondulado,Normal
97205,Humeda,Ondulado,Lluvia
97206,Seca y limpia,Ondulado,Normal
97207,Humeda,Ondulado,Lluvia
97208,Humeda,Ondulado,Lluvia
97209,Humeda,Ondulado,Lluvia
97210,Humeda,Ondulado,Lluvia
97211,Seca y limpia,Montañoso,Normal
97212,Humeda,Ondulado,Lluvia
97213,Humeda,Ondulado,Lluvia
97214,Humeda,Ondulado,Lluvia
97215,Humeda,Ondulado,Lluvia
97216,Humeda,Ondulado,Lluvia
97217,Seca y limpia,Plano,Normal
97218,Seca y limpia,Ondulado,Normal
97219,Seca y limpia,Montañoso,Normal
97220,Humeda,Montañoso,Lluvia
97221,Seca y limpia,Ondulado,Normal
97222,Seca y limpia,Ondulado,Normal
97223,Seca y limpia,Ondulado,Normal
97224,Seca y limpia,Ondulado,Normal
97225,Humeda,Ondulado,Lluvia
97226,Seca y limpia,Ondulado,Normal
97227,Seca y limpia,Ondulado,Normal
97228,Humeda,Ondulado,Lluvia
97229,Seca y limpia,Ondulado,Normal
97230,Humeda,Montañoso,Lluvia
97231,Seca y limpia,Ondulado,Normal
97232,Seca y limpia,Montañoso,Normal
97233,Humeda,Ondulado,Lluvia
97234,Seca y limpia,Montañoso,Normal
97235,Humeda,Ondulado,Lluvia
97236,Seca y limpia,Montañoso,Normal
97237,Seca y limpia,Plano,Normal
97238,Seca y limpia,Montañoso,Normal
97239,Seca y limpia,Ondulado,Normal
97240,Humeda,Ondulado,Lluvia
97241,Seca y limpia,Plano,Normal
97242,Humeda,Escarpado,Lluvia
97243,Seca y limpia,Plano,Normal
97244,Humeda,Ondulado,Lluvia
97245,Seca y limpia,Plano,Normal
97246,Seca y limpia,Montañoso,Normal
97247,Humeda,Ondulado,Lluvia
97248,Humeda,Montañoso,Lluvia
97249,Humeda,Ondulado,Lluvia
97250,Humeda,Ondulado,Lluvia
97251,Seca y limpia,Montañoso,Normal
97252,Humeda,Plano,Lluvia
97253,Seca y limpia,Montañoso,Normal
97254,Humeda,Ondulado,Lluvia
97255,Humeda,Plano,Lluvia
97256,Seca y limpia,Plano,Normal
97257,Seca y limpia,Escarpado,Normal
97258,Humeda,Ondulado,Lluvia
97259,Humeda,Plano,Lluvia
97260,Humeda,Ondulado,Lluvia
97261,Seca y limpia,Plano,Normal
97262,Humeda,Ondulado,Lluvia
97263,Seca y limpia,Escarpado,Normal
97264,Humeda,Montañoso,Lluvia
97265,Seca y limpia,Plano,Normal
97266,Seca y limpia,Plano,Normal
97267,Humeda,Ondulado,Lluvia
97268,Seca y limpia,Ondulado,Normal
97269,Humeda,Ondulado,Lluvia
97270,Humeda,Ondulado,Lluvia
97271,Seca y limpia,Ondulado,Normal
97272,Humeda,Escarpado,Lluvia
97273,Seca y limpia,Montañoso,Normal
97274,Seca y limpia,Ondulado,Normal
97275,Seca y limpia,Plano,Sol
97276,Humeda,Montañoso,Lluvia
97277,Humeda,Plano,Lluvia
97278,Seca y limpia,Ondulado,Normal
97279,Seca y limpia,Plano,Normal
97280,Seca y limpia,Ondulado,Normal
97281,Humeda,Ondulado,Lluvia
97282,Humeda,Plano,Lluvia
97283,Humeda,Ondulado,Lluvia
97284,Humeda,Montañoso,Lluvia
97285,Humeda,Ondulado,Lluvia
97286,Humeda,Ondulado,Lluvia
97287,Humeda,Montañoso,Lluvia
97288,Seca y limpia,Montañoso,Normal
97289,Seca y limpia,Montañoso,Normal
97290,Humeda,Ondulado,Lluvia
97291,Seca y limpia,Ondulado,Sol
97292,Seca y limpia,Plano,Normal
97293,Seca y limpia,Ondulado,Normal
97294,Humeda,Plano,Lluvia
97295,Humeda,Plano,Lluvia
97296,Humeda,Ondulado,Lluvia
97297,Humeda,Plano,Lluvia
97298,Humeda,Plano,Lluvia
97299,Seca y limpia,Ondulado,Normal
97300,Humeda,Ondulado,Lluvia
97301,Seca y limpia,Plano,Normal
97302,Seca y limpia,Ondulado,Normal
97303,Seca y limpia,Montañoso,Normal
97304,Humeda,Ondulado,Lluvia
97305,Humeda,Ondulado,Lluvia
97306,Humeda,Ondulado,Lluvia
97307,Humeda,Ondulado,Lluvia
97308,Seca y limpia,Montañoso,Normal
97309,Humeda,Ondulado,Lluvia
97310,Seca y limpia,Ondulado,Normal
97311,Humeda,Ondulado,Lluvia
97312,Humeda,Ondulado,Lluvia
97313,Seca y limpia,Ondulado,Normal
97314,Seca y limpia,Ondulado,Seca
97315,Humeda,Montañoso,Lluvia
97316,Humeda,Ondulado,Lluvia
97317,Seca y limpia,Montañoso,Normal
97318,Humeda,Ondulado,Lluvia
97319,Humeda,Ondulado,Lluvia
97320,Humeda,Plano,Lluvia
97321,Humeda,Ondulado,Lluvia
97322,Humeda,Ondulado,Lluvia
97323,Seca y limpia,Ondulado,Normal
97324,Humeda,Ondulado,Lluvia
97325,Seca y limpia,Ondulado,Normal
97326,Seca y limpia,Ondulado,Normal
97327,Seca y limpia,Ondulado,Normal
97328,Humeda,Ondulado,Lluvia
97533,Seca y limpia,Plano,Normal
97475,Seca y limpia,Plano,Viento
97476,Humeda,Plano,Lluvia
97477,Seca y limpia,Plano,Normal
97478,Seca y limpia,Plano,Normal
97479,Seca y limpia,Plano,Normal
97480,Seca y limpia,Plano,Normal
97481,Seca y limpia,Plano,Normal
97482,Seca y limpia,Plano,Normal
97483,Seca y limpia,Plano,Normal
97484,Seca y limpia,Plano,Normal
97485,Seca y limpia,Plano,Normal
97486,Seca y limpia,Plano,Normal
97487,Seca y limpia,Plano,Normal
97488,Seca y limpia,Plano,Normal
97489,Seca y limpia,Plano,Normal
97490,Seca y limpia,Plano,Normal
97491,Humeda,Plano,Lluvia
97492,Seca y limpia,Plano,Normal
97493,Humeda,Plano,Lluvia
97494,Seca y limpia,Plano,Normal
97495,Seca y limpia,Plano,Normal
97496,Seca y limpia,Plano,Normal
97497,Seca y limpia,Plano,Niebla
97498,Humeda,Plano,Lluvia
97499,Seca y limpia,Plano,Normal
97500,Humeda,Plano,Lluvia
97501,Seca y limpia,Plano,Niebla
97502,Seca y limpia,Plano,Normal
97503,Humeda,Plano,Lluvia
97504,Seca y limpia,Plano,Normal
97505,Seca y limpia,Plano,Normal
97506,Seca y limpia,Plano,Normal
97507,Seca y limpia,Plano,Niebla
97508,Seca y limpia,Plano,Normal
97509,Seca y limpia,Plano,Normal
97510,Seca y limpia,Plano,Normal
97511,Humeda,Plano,Lluvia
97512,Seca y limpia,Plano,Niebla
97513,Seca y limpia,Plano,Normal
97514,Seca y limpia,Plano,Normal
97515,Seca y limpia,Plano,Normal
97516,Humeda,Plano,Lluvia
97517,Seca y limpia,Plano,Normal
97518,Seca y limpia,Plano,Normal
97519,Seca y limpia,Plano,Normal
97520,Seca y limpia,Plano,Normal
97521,Seca y limpia,Plano,Normal
97522,Seca y limpia,Plano,Normal
97523,Humeda,Plano,Lluvia
97524,Humeda,Plano,Lluvia
97525,Humeda,Plano,Lluvia
97526,Seca y limpia,Plano,Normal
97527,Humeda,Plano,Lluvia
97528,Seca y limpia,Plano,Normal
97529,Seca y limpia,Plano,Normal
97530,Humeda,Plano,Lluvia
97531,Seca y limpia,Plano,Normal
97532,Humeda,Plano,Lluvia
97534,Seca y limpia,Plano,Normal
97535,Humeda,Plano,Lluvia
97536,Seca y limpia,Plano,Normal
97537,Seca y limpia,Plano,Normal
97538,Seca y limpia,Plano,Viento
97539,Seca y limpia,Plano,Normal
97540,Seca y limpia,Plano,Normal
97541,Seca y limpia,Plano,Normal
97542,Seca y limpia,Plano,Niebla
97626,Humeda,Montañoso,Lluvia
97627,Seca y limpia,Ondulado,Sol
97628,Seca y limpia,Ondulado,Normal
97629,Seca y limpia,Plano,Normal
97630,Humeda,Ondulado,Lluvia
97631,Humeda,Ondulado,Lluvia
97632,Seca y limpia,Ondulado,Normal
97633,Humeda,Ondulado,Lluvia
97634,Humeda,Ondulado,Lluvia
97635,Seca y limpia,Ondulado,Normal
97636,Seca y limpia,Montañoso,Normal
97637,Seca y limpia,Ondulado,Normal
97638,Seca y limpia,Ondulado,Normal
97639,Humeda,Ondulado,Lluvia
97640,Seca y limpia,Ondulado,Normal
97641,Seca y limpia,Plano,Normal
97642,Seca y limpia,Plano,Normal
97643,Seca y limpia,Montañoso,Normal
97955,Seca y limpia,Plano,Normal
97956,Seca y limpia,Plano,Normal
97957,Seca y limpia,Plano,Normal
97958,Seca y limpia,Plano,Normal
97959,Seca y limpia,Plano,Normal
97960,Seca y limpia,Plano,Normal
97961,Seca y limpia,Plano,Normal
97962,Seca y limpia,Plano,Normal
97963,Seca y limpia,Plano,Normal
97964,Seca y limpia,Plano,Normal
97965,Seca y limpia,Plano,Normal
97966,Seca y limpia,Plano,Normal
97967,Seca y limpia,Plano,Normal
97968,Seca y limpia,Plano,Normal
97969,Humeda,Plano,Lluvia
97970,Seca y limpia,Plano,Normal
97971,Seca y limpia,Plano,Normal
97972,Seca y limpia,Plano,Normal
97973,Seca y limpia,Plano,Normal
97974,Seca y limpia,Plano,Normal
97975,Seca y limpia,Plano,Normal
97976,Seca y limpia,Plano,Normal
101910,Lodo,Montañoso,Niebla
101913,Helada,Plano,Niebla
101914,Seca y limpia,Plano,Normal
101915,Seca y limpia,Plano,Normal
101916,Seca y limpia,Plano,Normal
101917,Seca y limpia,Plano,Normal
101918,Seca y limpia,Plano,Normal
101919,Seca y limpia,Plano,Normal
101920,Humeda,Plano,Lluvia
101922,Seca y limpia,Plano,Normal
101923,Humeda,Plano,Lluvia
101925,Humeda,Plano,Lluvia
101927,Humeda,Plano,Lluvia
101928,Seca y limpia,Plano,Normal
101930,Seca y limpia,Plano,Normal
101931,Seca y limpia,Ondulado,Normal
101933,Seca y limpia,Ondulado,Normal
101935,Seca y limpia,Plano,Normal
101937,Humeda,Plano,Lluvia
101940,Humeda,Plano,Lluvia
101941,Seca y limpia,Ondulado,Normal
101943,Seca y limpia,Plano,Normal
101945,Seca y limpia,Plano,Normal
101947,Seca y limpia,Plano,Normal
101948,Seca y limpia,Plano,Normal
101951,Seca y limpia,Plano,Normal
101952,Seca y limpia,Plano,Normal
101954,Seca y limpia,Plano,Normal
101956,Seca y limpia,Plano,Normal
106101,Humeda,Plano,Lluvia
